year,stage,rider_name,position,won,stage_type,elevation,distance_km,pcs_ranking,rider_type,gap_pct,hist_stage_wins,RCS_ranking
2021,1,AlaphilippeJulian,1,1,hilly,2843,197.8,0,Classic,0.0,0,0
2021,1,MatthewsMichael,2,0,hilly,2843,197.8,0,Classic,0.0478,0,0
2021,1,RogličPrimož,3,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,HaigJack,4,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,KeldermanWilco,5,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,PogačarTadej,6,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,GauduDavid,7,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,HiguitaSergio,8,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,MollemaBauke,9,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,ThomasGeraint,10,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,ChavesEsteban,11,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,BilbaoPello,12,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,VingegaardJonas,13,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,LutsenkoAlexey,14,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,MasEnric,15,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,UránRigoberto,16,0,hilly,2843,197.8,0,Climber,0.0478,0,0
2021,1,QuintanaNairo,17,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,NibaliVincenzo,18,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,AsgreenKasper,19,0,hilly,2843,197.8,0,TT,0.0478,0,0
2021,1,van der PoelMathieu,20,0,hilly,2843,197.8,0,Classic,0.0478,0,0
2021,1,FuglsangJakob,21,0,hilly,2843,197.8,0,GC,0.0478,0,0
2021,1,CarapazRichard,22,0,hilly,2843,197.8,0,Climber,0.0776,0,0
2021,1,AranburuAlex,23,0,hilly,2843,197.8,0,Classic,0.0776,0,0
2021,1,van AertWout,24,0,hilly,2843,197.8,0,Classic,0.0776,0,0
2021,1,LatourPierre,25,0,hilly,2843,197.8,0,GC,0.0776,0,0
2021,1,BenootTiesj,26,0,hilly,2843,197.8,0,Classic,0.0956,0,0
2021,1,TurgisAnthony,27,0,hilly,2843,197.8,0,Classic,0.1672,0,0
2021,1,HamiltonLucas,28,0,hilly,2843,197.8,0,GC,0.2269,0,0
2021,1,Van MoerBrent,29,0,hilly,2843,197.8,0,Classic,0.2747,0,0
2021,1,SkujiņšToms,30,0,hilly,2843,197.8,0,Classic,0.3046,0,0
2021,1,BoivinGuillaume,31,0,hilly,2843,197.8,0,Classic,0.3046,0,0
2021,1,StuyvenJasper,32,0,hilly,2843,197.8,0,Classic,0.3225,0,0
2021,1,ColbrelliSonny,33,0,hilly,2843,197.8,0,Classic,0.3225,0,0
2021,1,van PoppelBoy,34,0,hilly,2843,197.8,0,Classic,0.5016,0,0
2021,1,Kragh AndersenSøren,35,0,hilly,2843,197.8,0,TT,0.6509,0,0
2021,1,GesinkRobert,36,0,hilly,2843,197.8,0,GC,0.6509,0,0
2021,1,García CortinaIván,37,0,hilly,2843,197.8,0,Classic,0.6509,0,0
2021,1,ValgrenMichael,38,0,hilly,2843,197.8,0,Classic,0.6509,0,0
2021,1,GoglMichael,39,0,hilly,2843,197.8,0,Classic,0.6509,0,0
2021,1,O'ConnorBen,40,0,hilly,2843,197.8,0,GC,0.6509,0,0
2021,1,LópezMiguel Ángel,41,0,hilly,2843,197.8,0,Climber,0.6509,0,0
2021,1,BuchmannEmanuel,42,0,hilly,2843,197.8,0,GC,0.6509,0,0
2021,1,HenaoSergio,43,0,hilly,2843,197.8,0,GC,0.6509,0,0
2021,1,KruijswijkSteven,44,0,hilly,2843,197.8,0,GC,0.6509,0,0
2021,1,MohoričMatej,45,0,hilly,2843,197.8,0,Classic,0.6509,0,0
2021,1,MartinGuillaume,46,0,hilly,2843,197.8,0,Climber,0.6509,0,0
2021,1,RollandPierre,47,0,hilly,2843,197.8,0,Climber,0.6509,0,0
2021,1,CattaneoMattia,48,0,hilly,2843,197.8,0,TT,0.6509,0,0
2021,1,KüngStefan,49,0,hilly,2843,197.8,0,TT,0.6509,0,0
2021,1,LaporteChristophe,50,0,hilly,2843,197.8,0,Classic,0.6509,0,0
2021,1,DonovanMark,51,0,hilly,2843,197.8,0,GC,0.6509,0,0
2021,1,NieuwenhuisJoris,52,0,hilly,2843,197.8,0,Classic,0.6509,0,0
2021,1,BisseggerStefan,53,0,hilly,2843,197.8,0,TT,0.6509,0,0
2021,1,EekhoffNils,54,0,hilly,2843,197.8,0,Classic,0.6987,0,0
2021,1,DevenynsDries,55,0,hilly,2843,197.8,0,GC,0.7345,0,0
2021,1,GuerreiroRuben,56,0,hilly,2843,197.8,0,Climber,0.7764,0,0
2021,1,PowlessNeilson,57,0,hilly,2843,197.8,0,Classic,0.7764,0,0
2021,1,NaesenOliver,58,0,hilly,2843,197.8,0,Classic,0.8122,0,0
2021,1,Van AvermaetGreg,59,0,hilly,2843,197.8,0,Classic,0.8122,0,0
2021,1,Paret-PeintreAurélien,60,0,hilly,2843,197.8,0,GC,0.8122,0,0
2021,1,MeintjesLouis,61,0,hilly,2843,197.8,0,GC,0.8122,0,0
2021,1,BartheCyril,62,0,hilly,2843,197.8,0,Hills,0.8122,0,0
2021,1,PacherQuentin,63,0,hilly,2843,197.8,0,Hills,0.8122,0,0
2021,1,PoelsWout,64,0,hilly,2843,197.8,0,Climber,0.8122,0,0
2021,1,PorteRichie,65,0,hilly,2843,197.8,0,GC,0.8122,0,0
2021,1,GilbertPhilippe,66,0,hilly,2843,197.8,0,Classic,0.8122,0,0
2021,1,de BodStefan,67,0,hilly,2843,197.8,0,TT,0.8122,0,0
2021,1,MeurisseXandro,68,0,hilly,2843,197.8,0,GC,0.8122,0,0
2021,1,FormoloDavide,69,0,hilly,2843,197.8,0,Climber,0.8122,0,0
2021,1,HouleHugo,70,0,hilly,2843,197.8,0,GC,0.8122,0,0
2021,1,RickaertJonas,71,0,hilly,2843,197.8,0,Classic,0.8122,0,0
2021,1,van BaarleDylan,72,0,hilly,2843,197.8,0,Classic,1.0869,0,0
2021,1,SaganPeter,73,0,hilly,2843,197.8,0,Classic,1.1765,0,0
2021,1,MezgecLuka,74,0,hilly,2843,197.8,0,Hills,1.1765,0,0
2021,1,YatesSimon,75,0,hilly,2843,197.8,0,Climber,1.1765,0,0
2021,1,GeschkeSimon,76,0,hilly,2843,197.8,0,Climber,1.1765,0,0
2021,1,BakelantsJan,77,0,hilly,2843,197.8,0,GC,1.1765,0,0
2021,1,DelaplaceAnthony,78,0,hilly,2843,197.8,0,Classic,1.1765,0,0
2021,1,RoweLuke,79,0,hilly,2843,197.8,0,Classic,1.2541,0,0
2021,1,KwiatkowskiMichał,80,0,hilly,2843,197.8,0,Classic,1.2541,0,0
2021,1,SwiftConnor,81,0,hilly,2843,197.8,0,Classic,1.4034,0,0
2021,1,RutschJonas,82,0,hilly,2843,197.8,0,Classic,1.4034,0,0
2021,1,De GendtThomas,83,0,hilly,2843,197.8,0,TT,1.493,0,0
2021,1,TeunsDylan,84,0,hilly,2843,197.8,0,GC,1.493,0,0
2021,1,PöstlbergerLukas,85,0,hilly,2843,197.8,0,Classic,1.493,0,0
2021,1,BennettSean,86,0,hilly,2843,197.8,0,Hills,1.493,0,0
2021,1,CortMagnus,87,0,hilly,2843,197.8,0,Hills,1.5766,0,0
2021,1,Juul-JensenChristopher,88,0,hilly,2843,197.8,0,GC,1.5766,0,0
2021,1,LaengenVegard Stake,89,0,hilly,2843,197.8,0,GC,1.7737,0,0
2021,1,ArmirailBruno,90,0,hilly,2843,197.8,0,TT,1.7916,0,0
2021,1,WallaysJelle,91,0,hilly,2843,197.8,0,Classic,1.917,0,0
2021,1,BalleriniDavide,92,0,hilly,2843,197.8,0,Classic,1.9468,0,0
2021,1,ValverdeAlejandro,93,0,hilly,2843,197.8,0,Climber,1.9887,0,0
2021,1,BarberoCarlos,94,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,ErvitiImanol,95,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,CostaRui,96,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,MajkaRafał,97,0,hilly,2843,197.8,0,Climber,1.9887,0,0
2021,1,DlaminiNic,98,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,BernardJulien,99,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,ElissondeKenny,100,0,hilly,2843,197.8,0,Climber,1.9887,0,0
2021,1,PerezAnthony,101,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,BouhanniNacer,102,0,hilly,2843,197.8,0,Sprint,1.9887,0,0
2021,1,PhilipsenJasper,103,0,hilly,2843,197.8,0,Sprint,1.9887,0,0
2021,1,FernándezRubén,104,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,BonnamourFranck,105,0,hilly,2843,197.8,0,Hills,1.9887,0,0
2021,1,GautierCyril,106,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,DoubeyFabien,107,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,GesbertÉlie,108,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,MadouasValentin,109,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,RodríguezCristián,110,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,de la ParteVíctor,111,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,DémareArnaud,112,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,FraileOmar,113,0,hilly,2843,197.8,0,Climber,1.9887,0,0
2021,1,Boasson HagenEdvald,114,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,Van der SandeTosh,115,0,hilly,2843,197.8,0,Hills,1.9887,0,0
2021,1,ScotsonMiles,116,0,hilly,2843,197.8,0,TT,1.9887,0,0
2021,1,VeronaCarlos,117,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,WrightFred,118,0,hilly,2843,197.8,0,Hills,1.9887,0,0
2021,1,GuarnieriJacopo,119,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,VakočPetr,120,0,hilly,2843,197.8,0,Classic,1.9887,0,0
2021,1,MartinDan,121,0,hilly,2843,197.8,0,Climber,1.9887,0,0
2021,1,CabotJérémy,122,0,hilly,2843,197.8,0,TT,1.9887,0,0
2021,1,Geoghegan HartTao,123,0,hilly,2843,197.8,0,GC,1.9887,0,0
2021,1,CastroviejoJonathan,124,0,hilly,2843,197.8,0,TT,1.9887,0,0
2021,1,KochJonas,125,0,hilly,2843,197.8,0,Hills,1.9887,0,0
2021,1,WalscheidMax,126,0,hilly,2843,197.8,0,Sprint,2.1559,0,0
2021,1,OssDaniel,127,0,hilly,2843,197.8,0,Classic,2.1917,0,0
2021,1,KlugeRoger,128,0,hilly,2843,197.8,0,Sprint,2.1917,0,0
2021,1,EwanCaleb,129,0,hilly,2843,197.8,0,Sprint,2.1917,0,0
2021,1,BarguilWarren,130,0,hilly,2843,197.8,0,Climber,2.1917,0,0
2021,1,DeclercqTim,131,0,hilly,2843,197.8,0,Classic,2.1917,0,0
2021,1,CavendishMark,132,0,hilly,2843,197.8,0,Sprint,2.1917,0,0
2021,1,MørkøvMichael,133,0,hilly,2843,197.8,0,Classic,2.1917,0,0
2021,1,DurbridgeLuke,134,0,hilly,2843,197.8,0,TT,2.335,0,0
2021,1,CampenaertsVictor,135,0,hilly,2843,197.8,0,TT,2.4306,0,0
2021,1,De BuystJasper,136,0,hilly,2843,197.8,0,Classic,2.4903,0,0
2021,1,ClarkeSimon,137,0,hilly,2843,197.8,0,Classic,2.4903,0,0
2021,1,McNultyBrandon,138,0,hilly,2843,197.8,0,GC,2.4903,0,0
2021,1,SimonJulien,139,0,hilly,2843,197.8,0,Classic,2.4903,0,0
2021,1,VliegenLoïc,140,0,hilly,2843,197.8,0,Classic,2.4903,0,0
2021,1,van PoppelDanny,141,0,hilly,2843,197.8,0,Sprint,2.4903,0,0
2021,1,ArcasJorge,142,0,hilly,2843,197.8,0,GC,2.4903,0,0
2021,1,RotaLorenzo,143,0,hilly,2843,197.8,0,Classic,2.5082,0,0
2021,1,SchärMichael,144,0,hilly,2843,197.8,0,GC,2.5082,0,0
2021,1,PetersNans,145,0,hilly,2843,197.8,0,Classic,2.8068,0,0
2021,1,GodonDorian,146,0,hilly,2843,197.8,0,Hills,2.8068,0,0
2021,1,ChevalierMaxime,147,0,hilly,2843,197.8,0,GC,2.8068,0,0
2021,1,DillierSilvan,148,0,hilly,2843,197.8,0,Classic,2.9262,0,0
2021,1,BjergMikkel,149,0,hilly,2843,197.8,0,TT,3.1592,0,0
2021,1,PolittNils,150,0,hilly,2843,197.8,0,Classic,3.1592,0,0
2021,1,KonradPatrick,151,0,hilly,2843,197.8,0,Climber,3.1592,0,0
2021,1,MerlierTim,152,0,hilly,2843,197.8,0,Sprint,3.1592,0,0
2021,1,SweenyHarry,153,0,hilly,2843,197.8,0,GC,3.1592,0,0
2021,1,WoodsMichael,154,0,hilly,2843,197.8,0,Climber,3.1592,0,0
2021,1,PedersenCasper,155,0,hilly,2843,197.8,0,Classic,3.3383,0,0
2021,1,SbaragliKristian,156,0,hilly,2843,197.8,0,Classic,3.4159,0,0
2021,1,HerradaJesús,157,0,hilly,2843,197.8,0,GC,3.4159,0,0
2021,1,BolCees,158,0,hilly,2843,197.8,0,Sprint,3.5055,0,0
2021,1,CosnefroyBenoît,159,0,hilly,2843,197.8,0,Classic,3.5354,0,0
2021,1,ZimmermannGeorg,160,0,hilly,2843,197.8,0,Classic,3.9116,0,0
2021,1,GruzdevDmitriy,161,0,hilly,2843,197.8,0,TT,3.9713,0,0
2021,1,IzagirreIon,162,0,hilly,2843,197.8,0,GC,3.9713,0,0
2021,1,GreipelAndré,163,0,hilly,2843,197.8,0,Sprint,4.037,0,0
2021,1,TheunsEdward,164,0,hilly,2843,197.8,0,Classic,4.037,0,0
2021,1,PérichonPierre-Luc,165,0,hilly,2843,197.8,0,Classic,4.037,0,0
2021,1,HallerMarco,166,0,hilly,2843,197.8,0,Classic,4.0669,0,0
2021,1,SchellingIde,167,0,hilly,2843,197.8,0,Hills,4.252,0,0
2021,1,CoquardBryan,168,0,hilly,2843,197.8,0,Sprint,4.682,0,0
2021,1,RussoClément,169,0,hilly,2843,197.8,0,Classic,5.1478,0,0
2021,1,McLayDaniel,170,0,hilly,2843,197.8,0,Sprint,5.1478,0,0
2021,1,FroomeChris,171,0,hilly,2843,197.8,0,GC,5.2374,0,0
2021,1,GoldsteinOmer,172,0,hilly,2843,197.8,0,GC,5.2374,0,0
2021,1,PedersenMads,173,0,hilly,2843,197.8,0,Classic,5.2374,0,0
2021,1,HollensteinReto,174,0,hilly,2843,197.8,0,GC,5.2374,0,0
2021,1,ZabelRick,175,0,hilly,2843,197.8,0,Classic,5.9062,0,0
2021,1,MartinTony,176,0,hilly,2843,197.8,0,TT,5.9062,0,0
2021,1,KussSepp,177,0,hilly,2843,197.8,0,Climber,5.9062,0,0
2021,1,TeunissenMike,178,0,hilly,2843,197.8,0,Classic,5.9062,0,0
2021,1,JansenAmund Grøndahl,179,0,hilly,2843,197.8,0,Classic,5.9062,0,0
2021,1,HirschiMarc,180,0,hilly,2843,197.8,0,Classic,6.5034,0,0
2021,1,SolerMarc,181,0,hilly,2843,197.8,0,Climber,8.8265,0,0
2021,2,van der PoelMathieu,1,1,hilly,2210,183.5,0,Classic,0.0,0,0
2021,2,PogačarTadej,2,0,hilly,2210,183.5,0,Climber,0.0387,0,0
2021,2,RogličPrimož,3,0,hilly,2210,183.5,0,Climber,0.0387,0,0
2021,2,KeldermanWilco,4,0,hilly,2210,183.5,0,GC,0.0387,0,0
2021,2,AlaphilippeJulian,5,0,hilly,2210,183.5,0,Classic,0.0516,0,0
2021,2,MollemaBauke,6,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,VingegaardJonas,7,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,HiguitaSergio,8,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,LatourPierre,9,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,HaigJack,10,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,WoodsMichael,11,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,CarapazRichard,12,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,MasEnric,13,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,GauduDavid,14,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,QuintanaNairo,15,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,LutsenkoAlexey,16,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,ValverdeAlejandro,17,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,BilbaoPello,18,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,KruijswijkSteven,19,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,TeunsDylan,20,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,ChavesEsteban,21,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,BuchmannEmanuel,22,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,van AertWout,23,0,hilly,2210,183.5,0,Classic,0.0516,0,0
2021,2,MartinGuillaume,24,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,UránRigoberto,25,0,hilly,2210,183.5,0,Climber,0.0516,0,0
2021,2,HenaoSergio,26,0,hilly,2210,183.5,0,GC,0.0516,0,0
2021,2,ColbrelliSonny,27,0,hilly,2210,183.5,0,Classic,0.0516,0,0
2021,2,ThomasGeraint,28,0,hilly,2210,183.5,0,GC,0.1483,0,0
2021,2,IzagirreIon,29,0,hilly,2210,183.5,0,GC,0.1483,0,0
2021,2,LópezMiguel Ángel,30,0,hilly,2210,183.5,0,Climber,0.1483,0,0
2021,2,FuglsangJakob,31,0,hilly,2210,183.5,0,GC,0.1483,0,0
2021,2,GuerreiroRuben,32,0,hilly,2210,183.5,0,Climber,0.1483,0,0
2021,2,NibaliVincenzo,33,0,hilly,2210,183.5,0,GC,0.1483,0,0
2021,2,Paret-PeintreAurélien,34,0,hilly,2210,183.5,0,GC,0.1483,0,0
2021,2,MeintjesLouis,35,0,hilly,2210,183.5,0,GC,0.1483,0,0
2021,2,AranburuAlex,36,0,hilly,2210,183.5,0,Classic,0.1483,0,0
2021,2,PoelsWout,37,0,hilly,2210,183.5,0,Climber,0.1483,0,0
2021,2,PacherQuentin,38,0,hilly,2210,183.5,0,Hills,0.1483,0,0
2021,2,HamiltonLucas,39,0,hilly,2210,183.5,0,GC,0.1805,0,0
2021,2,MartinDan,40,0,hilly,2210,183.5,0,Climber,0.2321,0,0
2021,2,GesbertÉlie,41,0,hilly,2210,183.5,0,GC,0.2708,0,0
2021,2,PorteRichie,42,0,hilly,2210,183.5,0,GC,0.2708,0,0
2021,2,BonnamourFranck,43,0,hilly,2210,183.5,0,Hills,0.3159,0,0
2021,2,Kragh AndersenSøren,44,0,hilly,2210,183.5,0,TT,0.3288,0,0
2021,2,BenootTiesj,45,0,hilly,2210,183.5,0,Classic,0.3288,0,0
2021,2,AsgreenKasper,46,0,hilly,2210,183.5,0,TT,0.3804,0,0
2021,2,MeurisseXandro,47,0,hilly,2210,183.5,0,GC,0.3804,0,0
2021,2,ElissondeKenny,48,0,hilly,2210,183.5,0,Climber,0.3804,0,0
2021,2,SkujiņšToms,49,0,hilly,2210,183.5,0,Classic,0.3804,0,0
2021,2,BakelantsJan,50,0,hilly,2210,183.5,0,GC,0.3804,0,0
2021,2,Van AvermaetGreg,51,0,hilly,2210,183.5,0,Classic,0.3804,0,0
2021,2,O'ConnorBen,52,0,hilly,2210,183.5,0,GC,0.4255,0,0
2021,2,de BodStefan,53,0,hilly,2210,183.5,0,TT,0.4578,0,0
2021,2,BarguilWarren,54,0,hilly,2210,183.5,0,Climber,0.4771,0,0
2021,2,MohoričMatej,55,0,hilly,2210,183.5,0,Classic,0.5803,0,0
2021,2,FormoloDavide,56,0,hilly,2210,183.5,0,Climber,0.6125,0,0
2021,2,YatesSimon,57,0,hilly,2210,183.5,0,Climber,0.6705,0,0
2021,2,SimonJulien,58,0,hilly,2210,183.5,0,Classic,0.677,0,0
2021,2,RollandPierre,59,0,hilly,2210,183.5,0,Climber,0.677,0,0
2021,2,PowlessNeilson,60,0,hilly,2210,183.5,0,Classic,0.677,0,0
2021,2,MadouasValentin,61,0,hilly,2210,183.5,0,Classic,0.677,0,0
2021,2,BernardJulien,62,0,hilly,2210,183.5,0,GC,0.677,0,0
2021,2,CostaRui,63,0,hilly,2210,183.5,0,GC,0.8382,0,0
2021,2,GeschkeSimon,64,0,hilly,2210,183.5,0,Climber,0.9413,0,0
2021,2,MajkaRafał,65,0,hilly,2210,183.5,0,Climber,0.9413,0,0
2021,2,DoubeyFabien,66,0,hilly,2210,183.5,0,GC,0.9413,0,0
2021,2,TurgisAnthony,67,0,hilly,2210,183.5,0,Classic,0.9413,0,0
2021,2,DevenynsDries,68,0,hilly,2210,183.5,0,GC,0.9413,0,0
2021,2,de la ParteVíctor,69,0,hilly,2210,183.5,0,GC,0.9413,0,0
2021,2,GoglMichael,70,0,hilly,2210,183.5,0,Classic,0.9413,0,0
2021,2,ValgrenMichael,71,0,hilly,2210,183.5,0,Classic,0.9413,0,0
2021,2,McNultyBrandon,72,0,hilly,2210,183.5,0,GC,0.9413,0,0
2021,2,KüngStefan,73,0,hilly,2210,183.5,0,TT,0.9413,0,0
2021,2,FernándezRubén,74,0,hilly,2210,183.5,0,GC,1.0187,0,0
2021,2,KonradPatrick,75,0,hilly,2210,183.5,0,Climber,1.0187,0,0
2021,2,MatthewsMichael,76,0,hilly,2210,183.5,0,Classic,1.0316,0,0
2021,2,KwiatkowskiMichał,77,0,hilly,2210,183.5,0,Classic,1.47,0,0
2021,2,RodríguezCristián,78,0,hilly,2210,183.5,0,GC,1.47,0,0
2021,2,García CortinaIván,79,0,hilly,2210,183.5,0,Classic,1.47,0,0
2021,2,SbaragliKristian,80,0,hilly,2210,183.5,0,Classic,1.47,0,0
2021,2,FraileOmar,81,0,hilly,2210,183.5,0,Climber,1.47,0,0
2021,2,Geoghegan HartTao,82,0,hilly,2210,183.5,0,GC,1.47,0,0
2021,2,VeronaCarlos,83,0,hilly,2210,183.5,0,GC,1.47,0,0
2021,2,CastroviejoJonathan,84,0,hilly,2210,183.5,0,TT,1.47,0,0
2021,2,DonovanMark,85,0,hilly,2210,183.5,0,GC,1.47,0,0
2021,2,KussSepp,86,0,hilly,2210,183.5,0,Climber,1.47,0,0
2021,2,CattaneoMattia,87,0,hilly,2210,183.5,0,TT,1.47,0,0
2021,2,MezgecLuka,88,0,hilly,2210,183.5,0,Hills,1.47,0,0
2021,2,DillierSilvan,89,0,hilly,2210,183.5,0,Classic,1.4894,0,0
2021,2,van BaarleDylan,90,0,hilly,2210,183.5,0,Classic,1.5667,0,0
2021,2,GesinkRobert,91,0,hilly,2210,183.5,0,GC,1.8633,0,0
2021,2,NieuwenhuisJoris,92,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,SwiftConnor,93,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,PetersNans,94,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,GilbertPhilippe,95,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,GodonDorian,96,0,hilly,2210,183.5,0,Hills,1.8633,0,0
2021,2,BoivinGuillaume,97,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,DelaplaceAnthony,98,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,Boasson HagenEdvald,99,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,SaganPeter,100,0,hilly,2210,183.5,0,Classic,1.8633,0,0
2021,2,ArmirailBruno,101,0,hilly,2210,183.5,0,TT,2.0825,0,0
2021,2,CosnefroyBenoît,102,0,hilly,2210,183.5,0,Classic,2.0825,0,0
2021,2,CortMagnus,103,0,hilly,2210,183.5,0,Hills,2.3082,0,0
2021,2,HouleHugo,104,0,hilly,2210,183.5,0,GC,2.3082,0,0
2021,2,RickaertJonas,105,0,hilly,2210,183.5,0,Classic,2.4371,0,0
2021,2,NaesenOliver,106,0,hilly,2210,183.5,0,Classic,2.4371,0,0
2021,2,BartheCyril,107,0,hilly,2210,183.5,0,Hills,2.4371,0,0
2021,2,GautierCyril,108,0,hilly,2210,183.5,0,Classic,2.4371,0,0
2021,2,ChevalierMaxime,109,0,hilly,2210,183.5,0,GC,2.4371,0,0
2021,2,VliegenLoïc,110,0,hilly,2210,183.5,0,Classic,2.6821,0,0
2021,2,Van MoerBrent,111,0,hilly,2210,183.5,0,Classic,2.6821,0,0
2021,2,van PoppelBoy,112,0,hilly,2210,183.5,0,Classic,2.7273,0,0
2021,2,HerradaJesús,113,0,hilly,2210,183.5,0,GC,2.9723,0,0
2021,2,GoldsteinOmer,114,0,hilly,2210,183.5,0,GC,2.9723,0,0
2021,2,ClarkeSimon,115,0,hilly,2210,183.5,0,Classic,2.9723,0,0
2021,2,RutschJonas,116,0,hilly,2210,183.5,0,Classic,2.9723,0,0
2021,2,SchärMichael,117,0,hilly,2210,183.5,0,GC,2.9723,0,0
2021,2,BisseggerStefan,118,0,hilly,2210,183.5,0,TT,2.9723,0,0
2021,2,PérichonPierre-Luc,119,0,hilly,2210,183.5,0,Classic,2.9723,0,0
2021,2,LaporteChristophe,120,0,hilly,2210,183.5,0,Classic,2.9723,0,0
2021,2,GruzdevDmitriy,121,0,hilly,2210,183.5,0,TT,2.9723,0,0
2021,2,CampenaertsVictor,122,0,hilly,2210,183.5,0,TT,2.9723,0,0
2021,2,BennettSean,123,0,hilly,2210,183.5,0,Hills,2.9723,0,0
2021,2,EekhoffNils,124,0,hilly,2210,183.5,0,Classic,3.5203,0,0
2021,2,De GendtThomas,125,0,hilly,2210,183.5,0,TT,3.5203,0,0
2021,2,ErvitiImanol,126,0,hilly,2210,183.5,0,GC,3.5203,0,0
2021,2,ArcasJorge,127,0,hilly,2210,183.5,0,GC,3.5203,0,0
2021,2,WrightFred,128,0,hilly,2210,183.5,0,Hills,3.5203,0,0
2021,2,TeunissenMike,129,0,hilly,2210,183.5,0,Classic,3.5203,0,0
2021,2,OssDaniel,130,0,hilly,2210,183.5,0,Classic,3.5203,0,0
2021,2,LaengenVegard Stake,131,0,hilly,2210,183.5,0,GC,3.5203,0,0
2021,2,RotaLorenzo,132,0,hilly,2210,183.5,0,Classic,3.5203,0,0
2021,2,CoquardBryan,133,0,hilly,2210,183.5,0,Sprint,3.5203,0,0
2021,2,HirschiMarc,134,0,hilly,2210,183.5,0,Classic,3.5203,0,0
2021,2,PolittNils,135,0,hilly,2210,183.5,0,Classic,4.3907,0,0
2021,2,ZabelRick,136,0,hilly,2210,183.5,0,Classic,4.3907,0,0
2021,2,WallaysJelle,137,0,hilly,2210,183.5,0,Classic,4.3907,0,0
2021,2,FroomeChris,138,0,hilly,2210,183.5,0,GC,4.3907,0,0
2021,2,BarberoCarlos,139,0,hilly,2210,183.5,0,Classic,4.3907,0,0
2021,2,PerezAnthony,140,0,hilly,2210,183.5,0,Classic,4.3907,0,0
2021,2,HallerMarco,141,0,hilly,2210,183.5,0,Classic,4.3907,0,0
2021,2,VakočPetr,142,0,hilly,2210,183.5,0,Classic,4.539,0,0
